artiste,track,genre,date.entered,date.peaked,x1st.week,x2nd.week,x3rd.week,x4th.week,x5th.week,x6th.week,x7th.week,x8th.week,x9th.week,x10th.week,x11th.week,x12th.week,x13th.week,x14th.week,x15th.week,x16th.week,x17th.week,x18th.week,x19th.week,x20th.week,x21st.week,x22nd.week,x23rd.week,x24th.week,x25th.week,x26th.week,x27th.week,x28th.week,x29th.week,x30th.week,x31st.week,x32nd.week,x33rd.week,x34th.week,x35th.week,x36th.week,x37th.week,x38th.week,x39th.week,x40th.week,x41st.week,x42nd.week,x43rd.week,x44th.week,x45th.week,x46th.week,x47th.week,x48th.week,x49th.week,x50th.week,x51st.week,x52nd.week,x53rd.week,x54th.week,x55th.week,x56th.week,x57th.week,x58th.week,x59th.week,x60th.week,x61st.week,x62nd.week,x63rd.week,x64th.week,x65th.week,x66th.week,x67th.week,x68th.week,x69th.week,x70th.week,x71st.week,x72nd.week,x73rd.week,x74th.week,x75th.week,x76th.week
Destiny's Child,Independent Women Part I,Rock,2000-09-23,2000-11-18,78,63.0,49.0,33.0,23.0,15.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,7.0,10.0,12.0,15.0,22.0,29.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santana,"Maria, Maria",Rock,2000-02-12,2000-04-08,15,8.0,6.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,15.0,19.0,21.0,26.0,36.0,48.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savage Garden,I Knew I Loved You,Rock,1999-10-23,2000-01-29,71,48.0,43.0,31.0,20.0,13.0,7.0,6.0,4.0,4.0,4.0,6.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,8.0,8.0,12.0,14.0,17.0,21.0,24.0,30.0,34.0,37.0,46.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madonna,Music,Rock,2000-08-12,2000-09-16,41,23.0,18.0,14.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,8.0,11.0,16.0,20.0,25.0,27.0,27.0,29.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aguilera, Christina",Come On Over Baby (All I Want Is You),Rock,2000-08-05,2000-10-14,57,47.0,45.0,29.0,23.0,18.0,11.0,9.0,9.0,11.0,1.0,1.0,1.0,1.0,4.0,8.0,12.0,22.0,23.0,43.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janet,Doesn't Really Matter,Rock,2000-06-17,2000-08-26,59,52.0,43.0,30.0,29.0,22.0,15.0,10.0,10.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,7.0,8.0,20.0,25.0,37.0,40.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destiny's Child,Say My Name,Rock,1999-12-25,2000-03-18,83,83.0,44.0,38.0,16.0,13.0,16.0,16.0,16.0,18.0,17.0,14.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,5.0,7.0,10.0,13.0,14.0,18.0,23.0,23.0,34.0,37.0,43.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iglesias, Enrique",Be With You,Latin,2000-04-01,2000-06-24,63,45.0,34.0,23.0,17.0,12.0,9.0,8.0,8.0,6.0,5.0,4.0,1.0,1.0,1.0,3.0,11.0,14.0,24.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sisqo,Incomplete,Rock,2000-06-24,2000-08-12,77,66.0,61.0,61.0,61.0,55.0,2.0,1.0,1.0,2.0,2.0,4.0,5.0,5.0,7.0,8.0,10.0,10.0,9.0,14.0,17.0,20.0,25.0,31.0,32.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonestar,Amazed,Country,1999-06-05,2000-03-04,81,54.0,44.0,39.0,38.0,33.0,29.0,29.0,32.0,27.0,26.0,24.0,27.0,32.0,33.0,35.0,35.0,40.0,43.0,50.0,,,,,,,,,,45.0,45.0,45.0,23.0,17.0,14.0,17.0,18.0,18.0,3.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,8.0,9.0,10.0,12.0,15.0,20.0,22.0,22.0,25.0,26.0,31.0,32.0,37.0,42.0,42.0,45.0,50.0,,,,,,,,,,,,
N'Sync,It's Gonna Be Me,Rock,2000-05-06,2000-07-29,82,70.0,51.0,39.0,26.0,19.0,15.0,9.0,7.0,7.0,5.0,4.0,1.0,1.0,3.0,4.0,6.0,10.0,13.0,15.0,18.0,23.0,28.0,38.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aguilera, Christina",What A Girl Wants,Rock,1999-11-27,2000-01-15,71,51.0,28.0,18.0,13.0,13.0,11.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,12.0,11.0,13.0,15.0,18.0,20.0,30.0,40.0,39.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Horizon,Everything You Want,Rock,2000-01-22,2000-07-15,70,61.0,53.0,46.0,40.0,33.0,31.0,26.0,22.0,19.0,17.0,15.0,13.0,9.0,9.0,8.0,8.0,6.0,7.0,7.0,8.0,3.0,3.0,6.0,6.0,1.0,2.0,3.0,4.0,7.0,9.0,10.0,18.0,20.0,27.0,29.0,36.0,40.0,50.0,47.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creed,With Arms Wide Open,Rock,2000-05-13,2000-11-11,84,78.0,76.0,74.0,70.0,68.0,74.0,75.0,69.0,74.0,70.0,79.0,84.0,86.0,76.0,62.0,45.0,29.0,19.0,11.0,10.0,7.0,5.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,9.0,12.0,13.0,13.0,17.0,22.0,26.0,28.0,37.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaliyah,Try Again,Rock,2000-03-18,2000-06-17,59,53.0,38.0,28.0,21.0,18.0,16.0,14.0,12.0,10.0,9.0,8.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,9.0,13.0,14.0,16.0,23.0,22.0,33.0,36.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchbox twenty,Bent,Rock,2000-04-29,2000-07-22,60,37.0,29.0,24.0,22.0,21.0,18.0,16.0,13.0,12.0,8.0,6.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,6.0,9.0,12.0,13.0,19.0,20.0,20.0,24.0,29.0,28.0,27.0,30.0,33.0,37.0,38.0,38.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carey, Mariah",Thank God I Found You,Rock,1999-12-11,2000-02-19,82,68.0,50.0,50.0,41.0,37.0,26.0,22.0,22.0,2.0,1.0,2.0,4.0,13.0,21.0,28.0,43.0,57.0,82.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hill, Faith",Breathe,Rap,1999-11-06,2000-04-22,81,68.0,62.0,51.0,42.0,35.0,28.0,28.0,28.0,43.0,30.0,23.0,23.0,21.0,21.0,21.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0,8.0,11.0,13.0,14.0,18.0,22.0,23.0,22.0,24.0,30.0,31.0,31.0,38.0,39.0,42.0,49.0,49.0,48.0,47.0,,,,,,,,,,,,,,,,,,,,,,,
Mya,Case Of The Ex (Whatcha Gonna Do),Rock,2000-08-19,2000-12-02,72,57.0,52.0,47.0,42.0,31.0,24.0,18.0,17.0,17.0,17.0,10.0,9.0,9.0,7.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,8.0,11.0,15.0,19.0,24.0,23.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dream,He Loves U Not,Rock,2000-09-30,2000-12-30,99,92.0,81.0,59.0,47.0,42.0,32.0,27.0,18.0,18.0,11.0,8.0,5.0,2.0,2.0,3.0,3.0,3.0,7.0,9.0,10.0,11.0,10.0,19.0,23.0,28.0,38.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Braxton, Toni",He Wasn't Man Enough,Rock,2000-03-18,2000-05-06,63,55.0,48.0,39.0,35.0,24.0,3.0,2.0,2.0,4.0,4.0,5.0,11.0,12.0,16.0,15.0,14.0,14.0,12.0,10.0,11.0,13.0,13.0,13.0,15.0,16.0,14.0,13.0,17.0,19.0,23.0,29.0,37.0,33.0,34.0,41.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anthony, Marc",You Sang To Me,Latin,2000-02-26,2000-06-03,77,54.0,50.0,43.0,30.0,27.0,21.0,18.0,15.0,13.0,13.0,13.0,13.0,5.0,2.0,2.0,5.0,7.0,9.0,12.0,12.0,16.0,20.0,20.0,22.0,25.0,26.0,29.0,35.0,33.0,40.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98Â°,Give Me Just One Night (Una Noche),Rock,2000-08-19,2000-09-30,51,39.0,34.0,26.0,26.0,19.0,2.0,2.0,3.0,6.0,7.0,22.0,29.0,36.0,47.0,67.0,66.0,84.0,93.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destiny's Child,Jumpin' Jumpin',Rock,2000-05-13,2000-08-19,74,71.0,65.0,62.0,57.0,50.0,40.0,37.0,22.0,18.0,13.0,8.0,6.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,7.0,6.0,8.0,10.0,15.0,24.0,30.0,35.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Doors Down,Kryptonite,Rock,2000-04-08,2000-11-11,81,70.0,68.0,67.0,66.0,57.0,54.0,53.0,51.0,51.0,51.0,51.0,47.0,44.0,38.0,28.0,22.0,18.0,18.0,14.0,12.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,9.0,9.0,15.0,14.0,13.0,14.0,16.0,17.0,21.0,22.0,24.0,28.0,33.0,42.0,42.0,49.0,,,,,,,,,,,,,,,,,,,,,,,
Sisqo,Thong Song,Rock,2000-01-29,2000-05-20,74,63.0,35.0,26.0,26.0,23.0,20.0,16.0,13.0,10.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,7.0,8.0,13.0,17.0,24.0,31.0,43.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aguilera, Christina",I Turn To You,Rock,2000-04-15,2000-07-01,50,39.0,30.0,28.0,21.0,19.0,20.0,17.0,17.0,17.0,17.0,3.0,3.0,7.0,10.0,17.0,25.0,29.0,29.0,40.0,43.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, Whitney",My Love Is Your Love,Rock,1999-09-04,2000-01-08,81,68.0,44.0,16.0,11.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,10.0,10.0,11.0,20.0,22.0,27.0,34.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe,I Wanna Know,Rock,2000-01-01,2000-07-01,94,86.0,69.0,50.0,41.0,33.0,32.0,28.0,28.0,27.0,27.0,25.0,23.0,20.0,17.0,15.0,14.0,11.0,11.0,14.0,11.0,11.0,10.0,12.0,10.0,6.0,4.0,5.0,4.0,5.0,5.0,7.0,6.0,8.0,5.0,6.0,9.0,9.0,8.0,14.0,16.0,20.0,32.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jordan, Montell",Get It On.. Tonite,Rap,1999-10-23,2000-02-12,92,80.0,72.0,69.0,67.0,61.0,54.0,43.0,38.0,24.0,24.0,20.0,19.0,15.0,15.0,5.0,4.0,4.0,7.0,10.0,5.0,9.0,9.0,7.0,9.0,10.0,10.0,15.0,18.0,23.0,30.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N'Sync,Bye Bye Bye,Rock,2000-01-29,2000-04-15,42,20.0,19.0,14.0,13.0,7.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,7.0,9.0,12.0,18.0,20.0,27.0,34.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eminem,The Real Slim Shady,Rap,2000-05-06,2000-06-24,70,32.0,20.0,16.0,11.0,7.0,6.0,4.0,5.0,4.0,8.0,9.0,16.0,30.0,49.0,68.0,83.0,88.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink,Most Girls,Rock,2000-08-12,2000-11-25,85,70.0,52.0,36.0,27.0,21.0,15.0,13.0,12.0,8.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0,8.0,11.0,14.0,14.0,16.0,18.0,21.0,26.0,39.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mumba, Samantha",Gotta Tell You,Rock,2000-09-09,2000-12-09,85,72.0,65.0,49.0,39.0,25.0,20.0,10.0,9.0,8.0,6.0,5.0,7.0,4.0,6.0,7.0,13.0,17.0,17.0,23.0,29.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaque,Bring It All To Me,Pop,1999-10-23,2000-01-22,73,63.0,50.0,42.0,24.0,19.0,17.0,14.0,11.0,9.0,9.0,9.0,10.0,5.0,5.0,6.0,8.0,9.0,15.0,15.0,18.0,17.0,18.0,19.0,19.0,22.0,26.0,32.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elliott, Missy ""Misdemeanor""",Hot Boyz,Rap,1999-11-27,2000-01-08,36,21.0,13.0,9.0,7.0,7.0,5.0,7.0,7.0,7.0,8.0,11.0,7.0,10.0,11.0,12.0,15.0,17.0,23.0,30.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gray, Macy",I Try,Rock,2000-02-19,2000-05-20,68,51.0,47.0,36.0,30.0,20.0,15.0,12.0,8.0,7.0,7.0,7.0,6.0,5.0,6.0,9.0,10.0,11.0,14.0,16.0,16.0,16.0,21.0,27.0,34.0,40.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N'Sync,This I Promise You,Rock,2000-09-30,2000-12-02,68,31.0,19.0,15.0,11.0,6.0,7.0,7.0,6.0,5.0,6.0,7.0,10.0,12.0,11.0,9.0,11.0,12.0,20.0,22.0,26.0,30.0,30.0,39.0,41.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruff Endz,No More,Rock,2000-07-01,2000-09-02,76,38.0,19.0,17.0,12.0,15.0,12.0,10.0,7.0,5.0,8.0,8.0,10.0,12.0,14.0,15.0,19.0,23.0,21.0,18.0,19.0,22.0,23.0,24.0,33.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,Rock,2000-01-01,2000-03-18,74,62.0,55.0,25.0,16.0,14.0,12.0,10.0,12.0,9.0,7.0,6.0,6.0,6.0,8.0,9.0,13.0,19.0,23.0,26.0,32.0,34.0,45.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nine Days,Absolutely (Story Of A Girl),Rock,2000-05-06,2000-07-22,85,71.0,59.0,52.0,39.0,34.0,26.0,20.0,17.0,13.0,11.0,6.0,6.0,8.0,8.0,7.0,8.0,9.0,11.0,12.0,14.0,18.0,26.0,30.0,36.0,41.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dion, Celine",That's The Way It Is,Rock,1999-11-13,2000-03-04,74,68.0,65.0,49.0,44.0,34.0,30.0,30.0,17.0,14.0,11.0,8.0,9.0,10.0,11.0,11.0,6.0,8.0,7.0,7.0,9.0,10.0,14.0,16.0,26.0,31.0,35.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blink-182,All The Small Things,Rock,1999-12-04,2000-02-19,89,76.0,69.0,59.0,59.0,51.0,50.0,35.0,26.0,15.0,7.0,6.0,8.0,8.0,9.0,11.0,14.0,16.0,18.0,23.0,33.0,41.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eiffel 65,Blue (Da Ba Dee),Electronica,1999-12-11,2000-01-29,67,29.0,16.0,16.0,13.0,11.0,9.0,6.0,7.0,9.0,13.0,19.0,21.0,24.0,32.0,42.0,56.0,60.0,76.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Badu, Erkyah",Bag Lady,Rock,2000-08-19,2000-10-07,67,53.0,42.0,41.0,48.0,42.0,34.0,6.0,9.0,9.0,8.0,11.0,15.0,21.0,26.0,29.0,26.0,38.0,56.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink,There U Go,Rock,2000-03-04,2000-04-08,25,15.0,12.0,11.0,11.0,7.0,7.0,12.0,14.0,15.0,15.0,17.0,19.0,16.0,15.0,14.0,12.0,10.0,10.0,10.0,8.0,9.0,12.0,16.0,20.0,22.0,33.0,39.0,39.0,41.0,46.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creed,Higher,Rock,1999-09-11,2000-07-22,81,77.0,73.0,63.0,61.0,58.0,56.0,52.0,56.0,57.0,57.0,57.0,57.0,57.0,60.0,61.0,61.0,57.0,60.0,61.0,,,,,,,,,43.0,41.0,34.0,28.0,25.0,23.0,22.0,16.0,16.0,18.0,14.0,13.0,13.0,11.0,11.0,9.0,9.0,7.0,7.0,9.0,9.0,12.0,14.0,16.0,17.0,17.0,21.0,26.0,29.0,32.0,39.0,39.0,43.0,47.0,50.0,50.0,49.0,,,,,,,,,,,
Nelly,(Hot S**t) Country Grammar,Rap,2000-04-29,2000-09-16,100,99.0,96.0,76.0,55.0,37.0,24.0,24.0,30.0,36.0,37.0,30.0,23.0,21.0,17.0,17.0,15.0,11.0,11.0,10.0,7.0,7.0,8.0,10.0,11.0,12.0,12.0,17.0,19.0,23.0,33.0,37.0,36.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Next,Wifey,Rock,2000-05-27,2000-09-09,85,61.0,46.0,40.0,36.0,31.0,25.0,22.0,25.0,24.0,21.0,20.0,19.0,19.0,8.0,7.0,10.0,12.0,21.0,25.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny G,Auld Lang Syne (The Millenium Mix),Jazz,1999-12-25,2000-01-08,89,89.0,7.0,8.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonique,It Feels So Good,Rock,2000-01-22,2000-04-22,67,52.0,30.0,23.0,19.0,17.0,16.0,16.0,14.0,12.0,13.0,13.0,11.0,8.0,10.0,10.0,11.0,14.0,17.0,19.0,21.0,31.0,38.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spears, Britney",Oops!.. I Did It Again,Rock,2000-04-22,2000-06-10,67,38.0,26.0,19.0,15.0,13.0,12.0,9.0,9.0,10.0,14.0,15.0,17.0,24.0,35.0,49.0,77.0,85.0,90.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Backstreet Boys, The",Shape Of My Heart,Rock,2000-10-14,2000-12-02,39,25.0,24.0,15.0,12.0,12.0,10.0,9.0,10.0,12.0,17.0,19.0,29.0,26.0,24.0,31.0,52.0,63.0,62.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everclear,Wonderful,Rock,2000-07-08,2000-09-30,77,69.0,53.0,37.0,33.0,25.0,24.0,23.0,22.0,25.0,28.0,25.0,11.0,13.0,13.0,11.0,18.0,28.0,36.0,39.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja Rule,Between Me And You,Rap,2000-09-16,2000-11-18,85,74.0,61.0,37.0,27.0,22.0,22.0,16.0,14.0,11.0,11.0,14.0,17.0,18.0,18.0,21.0,30.0,30.0,42.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rimes, LeAnn",I Need You,Country,2000-05-27,2000-08-12,77,68.0,67.0,63.0,59.0,59.0,59.0,53.0,51.0,50.0,13.0,11.0,11.0,15.0,12.0,12.0,13.0,16.0,19.0,21.0,21.0,24.0,25.0,30.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smash Mouth,Then The Morning Comes,Rock,1999-10-30,2000-01-29,83,59.0,56.0,46.0,27.0,23.0,19.0,16.0,14.0,14.0,16.0,15.0,12.0,11.0,13.0,17.0,20.0,23.0,24.0,25.0,27.0,31.0,33.0,35.0,41.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Z,I Just Wanna Love U (Give It 2 Me),Rap,2000-10-28,2000-12-30,58,45.0,35.0,26.0,23.0,19.0,14.0,14.0,13.0,11.0,12.0,12.0,12.0,15.0,15.0,19.0,24.0,28.0,29.0,30.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagged Edge,Let's Get Married,Rock,2000-05-06,2000-07-29,77,66.0,55.0,45.0,38.0,42.0,33.0,29.0,28.0,26.0,23.0,15.0,11.0,14.0,14.0,17.0,20.0,20.0,21.0,23.0,24.0,29.0,36.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter,Take A Picture,Rock,1999-11-27,2000-02-05,91,74.0,64.0,52.0,38.0,38.0,34.0,31.0,21.0,19.0,12.0,13.0,15.0,20.0,19.0,22.0,23.0,24.0,31.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin, Ricky",She Bangs,Latin,2000-10-07,2000-12-02,38,28.0,21.0,21.0,18.0,16.0,13.0,13.0,12.0,20.0,22.0,29.0,43.0,54.0,55.0,73.0,92.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystikal,Shake Ya Ass,Rap,2000-08-12,2000-10-28,97,90.0,65.0,41.0,34.0,25.0,22.0,15.0,15.0,14.0,14.0,13.0,13.0,13.0,17.0,19.0,24.0,30.0,42.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBMak,Back Here,Rock,2000-04-29,2000-07-29,99,86.0,60.0,52.0,38.0,34.0,28.0,21.0,18.0,18.0,19.0,15.0,18.0,13.0,16.0,15.0,16.0,16.0,17.0,15.0,18.0,17.0,16.0,22.0,24.0,30.0,36.0,37.0,42.0,45.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
